id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US47009011301,,"Census Tract 113.01, Blount County, Tennessee",16,0,0,21,21,16,19,0,67,109,41,55,343,26,0,0,44,47,0,0,0,78,87,25,36,443,54,0,12,13,29,0,0,107,0,89,0,139,218.01,279.49,357.5,296,1151,,
1400000US47009011302,,"Census Tract 113.02, Blount County, Tennessee",12,0,0,11,144,36,29,0,47,68,0,15,344,12,55,23,0,0,32,0,0,62,70,67,23,453,12,82,24,0,0,15,0,0,54,134,42,90,278.52,289.98,353.5,237,1159,,
1400000US47009011401,,"Census Tract 114.01, Blount County, Tennessee",12,0,0,0,0,5,0,0,4,15,0,11,90,0,18,6,29,0,19,0,0,7,4,7,0,39,4,0,0,10,0,0,0,0,0,18,7,0,79,29.5,42.5,25,176,,
1400000US47009011402,,"Census Tract 114.02, Blount County, Tennessee",43,0,25,0,12,24,22,0,28,45,23,0,216,0,0,19,0,35,14,35,0,50,23,40,0,303,118,17,16,0,32,0,21,18,24,11,46,0,264.07,237.93,130,109,741,,
1400000US47009011501,,"Census Tract 115.01, Blount County, Tennessee",0,5,0,0,21,0,0,0,8,18,0,23,110,0,0,6,0,28,0,0,0,37,17,15,7,95,5,5,0,0,11,10,0,8,29,15,7,5,40.8,95.2,87,57,280,,
1400000US47009011502,,"Census Tract 115.02, Blount County, Tennessee",0,0,54,25,42,27,14,0,59,41,32,0,343,0,99,0,33,0,13,37,0,40,9,42,70,222,0,10,0,0,0,58,0,0,51,26,21,56,234.86,252.14,151,221,859,,
1400000US47009011503,,"Census Tract 115.03, Blount County, Tennessee",0,151,0,0,0,0,0,12,144,52,22,16,318,0,0,0,0,0,0,0,12,154,65,18,69,430,58,0,0,23,30,0,0,12,91,122,29,65,241.9,250.6,433.5,219,1145,,
1400000US47009011602,,"Census Tract 116.02, Blount County, Tennessee",21,0,0,37,0,11,0,0,81,151,71,51,294,29,0,0,48,0,13,0,16,26,96,52,14,628,26,0,0,58,19,27,0,20,188,124,82,84,225.27,247.23,518.5,354,1345,,
1400000US47009011603,,"Census Tract 116.03, Blount County, Tennessee",2,0,31,61,4,38,0,18,47,45,12,34,316,7,0,18,17,10,20,0,9,120,49,29,37,344,0,47,0,12,0,9,0,8,79,41,51,97,199.62,234.38,258,260,952,,
1400000US47009011604,,"Census Tract 116.04, Blount County, Tennessee",0,0,0,0,0,0,0,0,67,47,40,0,430,18,68,0,0,7,19,14,0,86,67,0,151,326,13,22,0,0,0,7,7,0,60,104,23,90,123.31,158.19,324.5,304,910,,
1400000US47009011605,,"Census Tract 116.05, Blount County, Tennessee",0,0,0,0,0,0,0,0,50,0,29,33,156,8,0,0,0,4,0,0,0,66,9,19,50,197,2,9,0,0,5,0,8,0,27,9,29,108,21.97,85.53,89.5,268,465,,
1400000US47009980100,,"Census Tract 9801, Blount County, Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1400000US47009980200,,"Census Tract 9802, Blount County, Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1400000US47011010100,,"Census Tract 101, Bradley County, Tennessee",119,0,95,12,0,21,0,0,44,60,46,0,384,70,0,36,21,8,0,10,0,60,149,30,0,382,19,0,31,7,77,10,0,0,77,107,54,0,438.05,188.45,406.5,130,1163,,
1400000US47011010200,,"Census Tract 102, Bradley County, Tennessee",183,36,73,78,0,73,0,6,81,37,0,21,298,46,33,0,10,0,70,0,0,114,0,9,16,238,21,0,16,0,0,75,29,0,12,42,0,43,496,356.5,182.5,89,1124,,
1400000US47011010300,,"Census Tract 103, Bradley County, Tennessee",66,3,0,0,52,0,0,0,46,31,0,0,175,26,49,30,0,21,0,0,0,16,33,0,0,174,12,63,13,0,9,23,0,0,26,28,0,0,289.06,121.94,136,0,547,,
1400000US47011010400,,"Census Tract 104, Bradley County, Tennessee",40,0,13,39,3,0,65,10,11,0,0,0,148,24,19,7,24,0,0,0,7,17,0,50,0,60,11,15,21,13,0,0,0,0,0,0,0,0,226.99,98.01,14,50,389,,
1400000US47011010500,,"Census Tract 105, Bradley County, Tennessee",8,40,0,0,84,0,0,0,30,0,0,16,116,0,23,0,6,44,0,0,0,18,6,9,10,150,13,47,0,7,4,19,0,0,8,30,0,22,187.56,135.44,64,57,444,,
