id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US05007020703,,"Census Tract 207.03, Benton County, Arkansas",0,0,0,0,50,0,0,0,85,66,16,62,305,0,0,0,0,21,0,0,0,48,65,37,134,378,22,0,0,0,40,0,0,34,62,63,24,133,133,65.2,357.8,406,962,,
1400000US05007020704,,"Census Tract 207.04, Benton County, Arkansas",39,0,0,8,0,0,0,33,101,113,62,43,421,0,17,0,8,0,8,0,8,95,64,87,134,408,11,6,0,8,0,27,0,0,163,15,46,132,97,133.44,493.56,504,1228,,
1400000US05007020801,,"Census Tract 208.01, Benton County, Arkansas",0,0,0,39,0,0,17,8,0,30,25,0,148,0,0,0,27,9,0,28,20,0,29,35,0,144,0,0,0,28,9,4,18,7,0,30,20,28,112,102,89,108,411,,
1400000US05007020803,,"Census Tract 208.03, Benton County, Arkansas",0,0,6,48,0,0,7,27,33,43,17,0,166,0,0,0,14,0,0,6,34,45,17,0,50,168,19,0,0,20,0,0,0,7,81,8,8,25,107,106.44,201.56,100,515,,
1400000US05007020805,,"Census Tract 208.05, Benton County, Arkansas",0,0,0,33,0,0,21,0,43,28,21,0,280,0,0,0,0,35,12,0,0,47,122,21,43,467,10,11,0,0,25,26,0,0,146,0,15,234,114,96.76,348.24,334,893,,
1400000US05007020806,,"Census Tract 208.06, Benton County, Arkansas",2,0,0,3,0,0,0,0,75,143,33,167,430,9,0,0,3,0,0,17,0,87,54,81,179,593,12,0,0,0,0,6,19,0,61,84,42,369,29,77.68,468.32,871,1446,,
1400000US05007020901,,"Census Tract 209.01, Benton County, Arkansas",0,92,39,55,36,0,0,19,332,83,190,427,1132,0,14,39,40,52,38,0,19,285,225,193,227,671,5,21,0,0,17,39,0,17,231,35,214,92,410,267.68,1055.32,1343,3076,,
1400000US05007020902,,"Census Tract 209.02, Benton County, Arkansas",0,17,0,192,16,30,0,0,167,78,61,18,685,0,13,0,0,0,59,0,0,125,241,122,125,952,62,0,0,30,25,45,34,0,275,236,135,110,355,258.72,1031.28,571,2216,,
1400000US05007021001,,"Census Tract 210.01, Benton County, Arkansas",13,15,69,89,25,5,30,35,41,109,44,67,189,6,14,0,44,28,10,29,11,34,0,0,13,562,115,0,13,0,79,18,74,22,35,55,47,104,510,251.6,256.4,275,1293,,
1400000US05007021002,,"Census Tract 210.02, Benton County, Arkansas",31,101,85,11,26,27,54,49,190,155,14,22,561,20,98,56,14,39,41,0,53,120,31,29,60,601,13,19,50,26,85,50,23,21,69,134,62,49,674,378.64,638.36,236,1927,,
