State_FIPS_Code,State,County,State_County_Tract_FIPS_Code,Primary_RUCA_Code,Secondary_RUCA_Code,Tract_Population,Land_Area,Population_Density
8013,CO,Boulder County,8013013508,1,1.0,6575,1.99778570402643,3291.1437832
8013,CO,Boulder County,8013013601,10,10.0,3831,53.3201655760567,71.848989188
8013,CO,Boulder County,8013013602,3,3.0,912,191.154164420839,4.7710182133
8013,CO,Boulder County,8013013701,2,2.0,6334,97.1143460896344,65.222083606
8013,CO,Boulder County,8013013702,2,2.0,5952,130.715939610531,45.533850101
8013,CO,Boulder County,8013060600,1,1.0,5325,14.6008336718162,364.70520244
8013,CO,Boulder County,8013060700,1,1.0,3091,3.86876464292499,798.9630503
8013,CO,Boulder County,8013060800,1,1.0,6107,8.20480210719123,744.32020666
8013,CO,Boulder County,8013060900,1,1.0,4139,2.97296512570715,1392.2127657
8013,CO,Boulder County,8013061300,1,1.0,3417,0.813325389924586,4201.2705398
8013,CO,Boulder County,8013061400,1,1.0,3990,0.986045495191484,4046.4664353
8014,CO,Broomfield County,8014030000,1,1.0,3378,0.623324123509453,5419.3314082
8014,CO,Broomfield County,8014030100,1,1.0,2183,0.415712350790814,5251.2271907
8014,CO,Broomfield County,8014030200,1,1.0,1672,0.994455186664957,1681.3226201
8014,CO,Broomfield County,8014030300,1,1.0,3707,1.03418857539108,3584.4526697
8014,CO,Broomfield County,8014030400,1,1.0,3789,0.888768596611258,4263.2019341
8014,CO,Broomfield County,8014030500,1,1.0,5911,1.88841222430374,3130.1428385
