IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"360 MIDDLETOWN BLVD STE 406,LANGHORNE,PA,19047-1863",0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,40.18487834,-74.88507774,40.18487834,-74.88507774,1.0,0.0,0.0,1.0
"3600 GETTYSBURG RD,CAMP HILL,PA,17011-6804",0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.22345128,-76.93907514,40.22345128,-76.93907514,1.0,0.0,0.0,1.0
"3601 A ST,PHILADELPHIA,PA,19134-1043",0.25,0.625,0.3611111111111111,0.6111111111111112,1.2916666666666663,1.0783730158730158,0.5,1.25,0.7222222222222222,1.2222222222222223,40.00632462,-75.12541771,40.00632462,-75.12541771,1.0,0.0,0.0,1.0
"3609 GERMANTOWN AVE,PHILADELPHIA,PA,19140-4225",1.3333333333333333,3.4119047619047618,0.0,0.0,0.25,0.0,2.6666666666666665,6.823809523809524,0.0,0.0,40.00775052,-75.15031979,40.00775052,-75.15031979,1.0,0.0,0.0,1.0
"363 E STREET RD,FEASTERVILLE TREVOSE,PA,19053-7711",0.5,,0.0,,0.0,,1.0,,0.0,,40.1449684,-74.99251024,,,1.0,0.0,,
"3635 GERMANTOWN AVE,PHILADELPHIA,PA,19140-4255",0.125,0.8857142857142857,0.0,0.0,0.0,0.0,0.25,1.7714285714285714,0.0,0.0,40.00846232,-75.15054772,40.00846232,-75.15054772,1.0,0.0,0.0,1.0
"3655 MUNICIPAL DR,WHITEHALL,PA,18052-2923",1.0,1.5833333333333333,0.0,0.0,0.0,0.0,2.0,3.1666666666666665,0.0,0.0,40.65664954,-75.50649088,40.65664954,-75.50649088,1.0,0.0,0.0,1.0
"369 BUTLER ST,PITTSBURGH,PA,15223-2124",2.3422799422799425,1.2773559773559773,0.0,0.0,0.3690476190476191,0.4606349206349206,4.684559884559885,2.5547119547119546,0.0,0.0,40.49703981,-79.94397641,40.49703981,-79.94397641,1.0,0.0,0.0,1.0
"37 HIGHLAND AVE,WASHINGTON,PA,15301-4062",0.4,2.0166666666666666,0.0,0.0,0.0,0.0,0.8,4.033333333333333,0.0,0.0,40.17467714,-80.24484022,40.17467714,-80.24484022,1.0,0.0,0.0,1.0
"37 MAIN ST # P,SMITHFIELD,PA,15478-7900",1.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,39.80487988,-79.80416601,39.80487988,-79.80416601,1.0,0.0,0.0,1.0
"37 MAIN ST,SMITHFIELD,PA,15478-7900",1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,39.80487988,-79.80416601,39.80487988,-79.80416601,1.0,0.0,0.0,1.0
"37 N 52ND ST,PHILADELPHIA,PA,19139-2644",0.4583333333333333,0.4095238095238095,0.0,0.0,0.0,0.0,0.9166666666666666,0.8190476190476189,0.0,0.0,39.96081251,-75.22465297,39.96081251,-75.22465297,1.0,0.0,0.0,1.0
"37 S 52ND ST,PHILADELPHIA,PA,19139-3405",2.125,1.702380952380952,0.0,0.0,0.5,0.14285714285714285,4.25,3.404761904761904,0.0,0.0,39.95882799,-75.22510831,39.95882799,-75.22510831,1.0,0.0,0.0,1.0
"370 E MAIN ST,MOUNT PLEASANT,PA,15666-1682",0.3611111111111111,2.142063492063492,0.0,0.0,0.0,0.6933473389355742,0.7222222222222222,4.284126984126984,0.0,0.0,40.14498178,-79.51759628,40.14498178,-79.51759628,1.0,0.0,0.0,1.0
"370 MIDDLETOWN BLVD STE 509,LANGHORNE,PA,19047-1840",0.09090909090909093,0.07692307692307693,0.0,0.0,0.3206349206349206,0.2047619047619048,0.18181818181818185,0.15384615384615385,0.0,0.0,40.18517471,-74.88494155,40.18517471,-74.88494155,1.0,0.0,0.0,1.0
"370 MIDDLETOWN BLVD,LANGHORNE,PA,19047-1840",0.09090909090909093,0.07692307692307693,0.0,0.0,0.2095238095238096,0.4726190476190477,0.18181818181818185,0.15384615384615385,0.0,0.0,40.18517471,-74.88494155,40.18517471,-74.88494155,1.0,0.0,0.0,1.0
"3737 MARKET ST FL 3,PHILADELPHIA,PA,19104-5545",0.2,,0.0,,0.0,,0.4,,0.0,,39.95660774,-75.19675367,,,1.0,0.0,,
