IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"1125 SILVER LAKE RD NW,SAINT PAUL,MN,55112",0.5,0.0,0.0,-93.21845547,45.06679945,0,1
"1126 IVES AVE N,GLENCOE,MN,55336-2226",4.0,0.0,0.0,-94.15032045,44.77043009,0,1
"11269 JEFFERSON HWY N,CHAMPLIN,MN,55316",1.0,0.0,0.0,-93.39413796,45.1583628,0,1
"113 NORTHTOWN DR NE,MINNEAPOLIS,MN,55434",0.5,0.0,0.0,-93.2614968,45.12931582,0,1
"113 W CENTER ST,LAKE CITY,MN,55041-1635",1.0,0.0,0.0,-92.26600173,44.44837814,0,1
"11301 FOUNTAINS DR,MAPLE GROVE,MN,55369-7200",1.75,0.0,0.5,-93.42358129,45.09144857,0,1
"1131 6TH ST NW,ROCHESTER,MN,55901",1.0,0.0,0.0,-92.47956236,44.02915246,0,1
"1136 WASHINGTON AVE,DETROIT LAKES,MN,56501",1.5,0.0,0.0,-95.84564354,46.81229423,0,1
"1136 WASHINGTON AVE,DETROIT LAKES,MN,56501-3411",7.5,0.0,0.0,-95.84564354,46.81229423,0,1
"114 3RD ST NE,FARIBAULT,MN,55021-5219",0.0,0.0,0.3333333333333333,-93.26654213,44.29374492,0,1
"1140 SINCLAIR LEWIS AVE STE 5,SAUK CENTRE,MN,56378-1962",1.0,0.0,0.0,-94.96234026,45.73708145,0,1
"1140 SOUTH AVE,NORTH MANKATO,MN,56003-3507",1.0,0.0,0.0,-94.02814609999999,44.16855034,0,1
"11441 OSAGE ST NW,COON RAPIDS,MN,55433-3677",0.0,0.0,0.3333333333333333,-93.31905356,45.17904465,0,1
"11441 OSAGE ST NW,MINNEAPOLIS,MN,55433",0.0,0.0,0.3333333333333333,-93.31905356,45.17904465,0,1
"11475 ROBINSON DR NW,COON RAPIDS,MN,55433-3746",4.726190476190476,0.0,0.0,-93.31212392,45.17909187,0,1
"11475 ROBINSON DR NW,MINNEAPOLIS,MN,55433",0.5,0.0,0.0,-93.31212392,45.17909187,0,1
"115 BROADWAY ST NE,MINNEAPOLIS,MN,55413",0.25,0.0,0.0,-93.26716214,44.9987758,0,1
"115 BROADWAY ST NE,MINNEAPOLIS,MN,55413-1805",1.4166666666666663,0.0,0.0,-93.26716214,44.9987758,0,1
"115 BROADWAY ST S STE 600,JORDAN,MN,55352-1667",2.4166666666666665,0.2,0.2,-93.62600828,44.66610406,0,1
"115 BROADWAY ST S,JORDAN,MN,55352-1664",0.9333333333333332,0.0,0.0,-93.62600828,44.66610406,0,1
"115 DREW AVE SE STE 202,MADELIA,MN,56062-1870",1.443290043290043,0.0,0.0,-94.40940033,44.04961758,0,1
"115 DREW AVE SE,MADELIA,MN,56062",0.6666666666666666,0.0,0.0,-94.40940033,44.04961758,0,1
"115 DREW AVE SE,MADELIA,MN,56062-1873",1.6940476190476188,0.0,0.0,-94.40940033,44.04961758,0,1
"115 N MAIN ST,HENDRICKS,MN,56136-9519",1.0,0.0,0.0,-96.42566532,44.5072889,0,1
"115 OLSEN BLVD NE STE 200,COKATO,MN,55321-4797",0.5,0.0,0.0,-94.18484774,45.08021876,0,1
"115 OLSEN BLVD,COKATO,MN,55321",0.5,0.0,0.0,-94.18484774,45.08021876,0,1
"1150 HAZELTINE BLVD,CHASKA,MN,55318",0.04764605785592739,0.0,0.0,-93.59890627,44.83474994,0,1
"1150 HAZELTINE BLVD,CHASKA,MN,55318-1004",8.226818843946976,0.0,0.04651162790697674,-93.59890627,44.83474994,0,1
"1150 MONTREAL AVE STE 104,SAINT PAUL,MN,55116-2393",1.5,0.0,0.0,-93.14851436,44.91240151,0,1
"1155 COUNTY ROAD E E,SAINT PAUL,MN,55110",2.5,0.0,0.0,-93.05195302,45.0504095,0,1
"116 MAIN ST S,PIERZ,MN,56364",0.5,0.0,0.0,-94.10385948,45.97828811,0,1
"11601 MINNETONKA MILLS RD STE B30,MINNETONKA,MN,55305-5176",1.0,0.0,0.0,-93.4266651,44.93497235,0,1
"11601 MINNETONKA MILLS RD STE F40,MINNETONKA,MN,55305-5189",0.0,0.0,0.25,-93.4266651,44.93497235,0,1
