BOD_addr,general,pediatric,specialist,Latitude,Longitude
"1176 1/2 S LAPEER RD  STE A2,LAPEER,MI,48446",0.0,0.0,1.0,43.02920399,-83.32293118
"119 WALNUT ST,MANISTIQUE,MI,498541435",1.0,0.0,0.0,45.95653364,-86.24688903
"1193 W SHAG LAKES RD,GWINN,MI,49841",1.0,0.0,0.0,46.25969956,-87.49207395
"11937 LEMA PLACE,FREELAND,MI,486239553",1.0,0.0,0.0,43.53316029,-84.14933957
"11953 KRUSE ROAD,PETERSBURG,MI,49270",1.0,0.0,0.0,41.83167301,-83.63844758
"120 E MAIN STREET,BAY CITY,MI,48708",1.0,0.0,0.0,43.591551,-83.90545269
"120 MAXINE ST.,LAPEER,MI,48446",1.0,0.0,0.0,43.0893368,-83.30286455
"1200 S LIVERNOIS,ROCHESTER HILLS,MI,48307",1.0,0.0,0.0,42.6626693,-83.1536543
"1200 S LIVERNOIS,ROCHESTER HILLS,MI,483073454",1.0,0.0,0.0,42.6626693,-83.1536543
"12009 JEFFERS LANE,FENTON,MI,48430",1.0,0.0,0.0,42.78001827,-83.72459433
"1201 E STADIUM BLVD,ANN ARBOR,MI,48104",3.0,0.0,0.0,42.2609729,-83.7346681
"1202 WALTON BLVD STE 204,ROCHESTER HILLS,MI,48307",1.0,0.0,0.0,42.6825194,-83.1497654
"1202 WALTON BLVD SUITE #208,ROCHESTER HILLS,MI,48307",1.0,0.0,0.0,42.6825194,-83.1497654
"1202 WALTON BLVD,STE 208,ROCHESTER HILLS,MI,48307",1.0,0.0,0.0,42.6825194,-83.1497654
"1202 WALTON BLVD.,SUITE 202,ROCHESTER HILLS,MI,48307",1.0,0.0,0.0,42.6825194,-83.1497654
"1205 W UNIVERSITY,ROCHESTER HILLS,MI,48307",0.0,0.0,1.0,42.6812327,-83.1509988
"12073 CLOVER KNOLL ROAD,FENTON,MI,48430",1.0,0.0,0.0,42.8545714,-83.70554279999998
"12080 68TH AVE,ALLENDALE,MI,49401",1.0,0.0,0.0,42.9935719,-85.9546824
"12099 MORAN ST,HAMTRAMCK,MI,48212",0.0,1.0,0.0,42.4076651,-83.0577572
"121 HELEN ST,MIDLAND,MI,48640",1.0,0.0,0.0,43.62227915,-84.2333122
"121 KEVELING,SALINE,MI,48176",1.0,0.0,0.0,42.17091637,-83.77145156
"1210 FALCON DRIVE,TROY,MI,48098",1.0,0.0,0.0,42.607167600000004,-83.17227940000002
"12109 ADDINTON DRIVE,COMMERCE TOWNSHIP,MI,48390",0.0,0.0,1.0,42.55145919,-83.47662325
"1212 HUNTERS RUN DR,GRAND BLANC,MI,48439",1.0,0.0,0.0,42.91680482,-83.62913204
"1212 NAPLES CT,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.2654252,-83.7634007
"1220 E. NAPIER AVE,BENTON HARBOR,MI,49022",1.0,0.0,0.0,42.08770128,-86.42781346
"1220 W PARNALL RD,JACKSON,MI,49203",1.0,0.0,0.0,42.2215091,-84.40110112
"1221 BAUMAN AVE,ROYAL OAK,MI,48073",1.0,0.0,0.0,42.528783000000004,-83.13050759999999
"1221 S ORTONVILLE RD,SUITE-D,ORTONVILLE,MI,48462",1.0,0.0,0.0,42.8334378,-83.4452668
"12220 WHISPER RIDGE CIR E,FREELAND,MI,48623",1.0,0.0,0.0,43.53383324,-84.15432204
"123 FAIRVIEW DR,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.282768299999994,-83.77540909999998
"123 SOUTH ST,CHELSEA,MI,48118",1.0,0.0,0.0,42.31701489,-84.02086427
"123 SOUTH STREET,CHELSEA,MI,48118",1.0,0.0,0.0,42.31701489,-84.02086427
