County_ID,County_Name,State_ID,State_Name,n^M_i,n^H_i,n^U_i,n^O_i,p_i,PREDICTED_DEMAND,STATE_FIPS,COUNTY_FIPS,County_Population_2010,RUCC_2013,NUM_DENTISTS,ACCEPTS_MED,ACCEPTS_CHIP,ACCEPTS_MED_CHIP,ONLY_PRIVATE,NUM_GENERALIST,NUM_SPECIALIST,NUM_PEDIATRITION,NUM_MED_GENERALIST,NUM_MED_SPECIALIST,NUM_MED_PEDIATRITION,NUM_CHIP_GENERALIST,NUM_CHIP_SPECIALIST,NUM_CHIP_PEDIATRITION,NUM_MED_CHIP_GENERALIST,NUM_MED_CHIP_SPECIALIST,NUM_MED_CHIP_PEDIATRITION,PUBLIC_DENTIST_RATIO,PREDICTED_SUPPLY,PUBLIC_AVAILABILITY_RATIO,label
121,Randolph County,5,Arkansas,1688,647.04,1007.96,429,3772,3.876391466,5,121,0,7,7,5,5,5,2,7,0,0,5,0,0,5,0,0,5,0,0,0.714285714,1.1,0.28376907,0
123,St. Francis County,5,Arkansas,2907,1018.6,1302.4,315,5543,6.062152134,5,123,0,6,5,4,4,4,1,4,0,1,3,0,1,3,0,1,3,0,1,0.8,1.5,0.247436878,0
125,Saline County,5,Arkansas,5261,4323.76,9850.24,7857,27292,22.5359462,5,125,0,2,34,17,17,17,17,31,1,2,14,1,2,14,1,2,14,1,2,0.5,4.76,0.211218112,3
127,Scott County,5,Arkansas,1557,428.88,489.12,177,2652,2.869897959,5,127,0,6,2,1,1,1,1,2,0,0,1,0,0,1,0,0,1,0,0,0.5,0.22,0.076657778,0
129,Searcy County,5,Arkansas,673,351.96,446.04,69,1540,1.705705009,5,129,0,9,2,2,2,2,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0.44,0.257957852,0
131,Sebastian County,5,Arkansas,13300,4560.52,7835.48,4575,30271,29.79591837,5,131,0,2,83,46,46,46,37,69,8,6,38,3,5,38,3,5,38,3,5,0.554216867,12.56,0.421534247,-1
133,Sevier County,5,Arkansas,2129,1009.4,1358.6,399,4896,5.214517625,5,133,0,6,6,4,4,4,2,6,0,0,4,0,0,4,0,0,4,0,0,0.666666667,0.88,0.168759618,0
135,Sharp County,5,Arkansas,1861,573.56,848.44,179,3462,3.806818182,5,135,0,7,5,4,4,4,1,5,0,0,4,0,0,4,0,0,4,0,0,0.8,0.88,0.231164179,0
137,Stone County,5,Arkansas,1195,459.4,607.6,179,2441,2.622912801,5,137,0,9,3,1,1,1,2,3,0,0,1,0,0,1,0,0,1,0,0,0.333333333,0.22,0.083876216,0
139,Union County,5,Arkansas,3532,1698.52,2459.48,1756,9446,8.916975881,5,139,0,7,22,9,9,9,13,17,4,1,6,2,1,6,2,1,6,2,1,0.409090909,2.16,0.24223459,0
