id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US45007010401,,"Census Tract 104.01, Anderson County, South Carolina",28,0,9,42,34,35,0,0,71,106,16,25,422,43,0,0,0,55,69,30,0,100,60,65,0,601,20,0,130,58,26,0,60,32,32,79,97,67,364.5,332.89,421.61,270,1389,
1400000US45007010402,,"Census Tract 104.02, Anderson County, South Carolina",195,80,0,225,0,12,0,20,17,66,79,0,727,0,0,108,84,0,16,0,68,115,133,185,18,583,0,123,0,61,7,51,66,88,116,14,21,36,878.1,358.14,428.76,339,2004,
1400000US45007010500,,"Census Tract 105, Anderson County, South Carolina",47,0,11,0,0,28,0,0,16,109,63,77,496,49,0,12,22,44,0,0,94,53,102,0,120,805,86,0,11,200,28,127,0,0,61,91,55,146,459.6,316.3,415.1,461,1652,
1400000US45007010600,,"Census Tract 106, Anderson County, South Carolina",53,0,0,42,0,0,0,0,74,130,22,48,589,33,53,0,41,0,0,0,78,170,46,63,105,706,0,53,0,0,0,27,0,29,53,203,143,198,275,172.61,637.39,579,1664,
1400000US45007010700,,"Census Tract 107, Anderson County, South Carolina",66,28,113,0,0,26,0,55,27,125,61,22,426,41,41,51,64,131,0,0,0,31,9,21,37,254,0,12,52,19,19,0,0,0,152,0,0,0,532,213.3,316.7,141,1203,
1400000US45007010800,,"Census Tract 108, Anderson County, South Carolina",17,0,77,19,0,37,0,0,52,54,0,70,260,17,18,15,0,0,18,0,0,51,38,87,16,210,0,0,0,0,0,35,0,17,0,54,88,16,163,120.39,235.61,277,796,
1400000US45007010900,,"Census Tract 109, Anderson County, South Carolina",0,0,0,17,17,42,0,11,14,20,26,0,239,0,0,0,0,0,7,13,24,124,28,43,0,285,0,14,0,55,56,9,0,10,73,19,23,26,107.9,194.53,250.57,118,671,
1400000US45007001100,,"Census Tract 11, Anderson County, South Carolina",0,13,21,0,0,34,0,0,62,16,67,53,367,41,0,99,0,12,11,0,0,45,104,19,36,459,0,12,62,0,0,0,0,0,36,180,11,158,251.6,71.99,424.41,344,1092,
1400000US45007011001,,"Census Tract 110.01, Anderson County, South Carolina",0,0,25,0,0,53,0,0,23,47,18,0,330,0,48,0,35,75,0,0,0,17,137,18,0,537,0,30,0,35,81,0,0,0,116,103,67,105,219.8,182.48,422.72,208,1033,
1400000US45007011002,,"Census Tract 110.02, Anderson County, South Carolina",0,5,0,34,0,11,21,0,58,67,5,0,358,0,18,10,18,0,12,2,30,91,96,28,53,237,0,15,5,0,0,0,0,0,56,92,54,15,105,102.65,433.35,155,796,
1400000US45007011100,,"Census Tract 111, Anderson County, South Carolina",0,0,0,22,0,0,0,0,112,13,0,9,156,16,0,0,17,0,8,0,0,66,49,0,0,187,20,11,0,0,11,16,0,0,87,26,7,9,89.3,66.15,318.55,25,499,
1400000US45007011201,,"Census Tract 112.01, Anderson County, South Carolina",0,0,0,0,9,0,0,0,21,39,55,112,392,0,0,25,0,10,0,0,0,0,46,156,155,475,0,0,67,12,0,0,0,0,36,74,53,233,109.7,20.71,208.59,764,1103,
1400000US45007011202,,"Census Tract 112.02, Anderson County, South Carolina",0,0,84,17,22,0,0,10,154,164,35,39,829,74,30,0,0,30,110,0,10,183,170,139,83,861,0,30,0,15,0,30,54,0,228,90,193,221,265.6,323.85,915.55,710,2215,
1400000US45007011300,,"Census Tract 113, Anderson County, South Carolina",19,42,11,27,22,87,0,0,27,36,45,42,567,52,0,23,80,42,44,21,0,73,167,45,20,692,69,63,12,53,0,58,36,0,106,128,111,56,470.2,317.58,510.22,319,1617,
1400000US45007011401,,"Census Tract 114.01, Anderson County, South Carolina",30,0,34,60,8,0,0,0,45,19,36,39,334,44,10,99,28,8,0,24,0,41,34,23,23,291,0,62,0,8,0,0,0,0,126,11,63,21,379.8,62.76,248.44,205,896,
1400000US45007011402,,"Census Tract 114.02, Anderson County, South Carolina",167,18,6,31,0,0,0,39,0,14,15,0,234,68,18,0,67,0,0,0,0,38,11,32,0,368,46,45,0,159,15,0,23,0,13,39,14,14,629.5,79.13,108.37,75,892,
1400000US45007011500,,"Census Tract 115, Anderson County, South Carolina",149,22,40,0,15,62,0,0,56,19,14,0,464,53,42,0,0,0,93,0,0,157,24,95,0,556,62,0,0,55,0,0,14,0,241,72,97,15,427.5,238.52,509.98,221,1397,
1400000US45007011600,,"Census Tract 116, Anderson County, South Carolina",6,18,0,0,36,0,0,0,41,4,34,0,162,6,44,7,0,0,5,0,0,59,35,0,6,136,7,0,13,9,0,0,0,0,35,15,43,14,120.8,47.75,171.45,97,437,
1400000US45007011700,,"Census Tract 117, Anderson County, South Carolina",20,41,53,53,27,18,43,0,20,0,62,39,332,16,37,0,56,27,4,22,19,21,0,78,52,359,15,34,0,13,99,0,0,3,104,31,36,24,383.9,234.95,157.15,291,1067,
1400000US45007011800,,"Census Tract 118, Anderson County, South Carolina",56,0,0,0,81,0,17,47,55,48,0,6,213,47,10,5,42,78,0,0,0,16,15,0,0,322,7,10,55,0,123,0,0,58,22,25,22,0,316.6,331.49,168.91,28,845,
