,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
332,1400000US32003001707,"Census Tract 17.07, Clark County, Nevada",42,0,0,3,20,10,0,0,0,25,0,0,101,39,0,0,7,7,10,0,0,20,6,0,12,62,0,0,0,3,29,10,4,0,0,9,7,0,122,63,59,19,263,
162,1400000US32003001708,"Census Tract 17.08, Clark County, Nevada",193,0,0,70,0,22,0,0,22,32,7,0,262,185,0,0,32,0,0,21,0,14,0,0,10,277,86,0,0,0,0,9,34,0,35,30,83,0,566,89.55,129.45,100,885,
537,1400000US32003001709,"Census Tract 17.09, Clark County, Nevada",0,13,0,0,44,0,0,0,31,0,22,0,61,0,0,0,31,0,0,0,0,7,0,11,12,86,0,0,11,32,0,0,0,0,6,16,0,21,109,24.2,57.8,66,257,
333,1400000US32003001710,"Census Tract 17.10, Clark County, Nevada",20,12,0,22,55,0,0,0,104,10,42,24,283,56,27,0,42,62,0,0,0,56,36,4,0,246,66,0,29,6,7,9,0,12,62,36,4,15,342,94.1,292.9,89,818,
538,1400000US32003001711,"Census Tract 17.11, Clark County, Nevada",74,35,25,10,0,10,0,0,18,0,0,0,187,78,0,56,45,0,0,0,0,0,0,0,8,100,0,15,15,31,0,0,0,16,9,0,0,14,384,27.35,25.65,22,459,
163,1400000US32003001712,"Census Tract 17.12, Clark County, Nevada",0,9,10,0,86,0,0,57,106,0,7,12,181,19,8,23,0,11,0,0,35,38,19,0,28,177,40,0,48,0,11,0,0,0,14,0,26,38,211,153.9,169.1,111,645,
334,1400000US32003001713,"Census Tract 17.13, Clark County, Nevada",0,0,0,46,55,0,0,8,20,27,0,20,320,0,0,0,174,33,0,0,16,30,56,11,0,231,0,0,0,44,10,0,0,0,93,52,20,12,313,80.15,270.85,63,727,
509,1400000US32003001714,"Census Tract 17.14, Clark County, Nevada",33,0,0,0,26,19,0,0,291,57,0,0,191,0,0,0,0,24,0,0,0,122,28,17,0,246,0,0,0,26,31,0,0,0,29,124,18,18,99.5,81.6,628.9,53,863,
319,1400000US32003001715,"Census Tract 17.15, Clark County, Nevada",0,0,9,55,24,29,19,0,27,7,0,0,142,0,27,19,0,0,0,25,0,45,19,0,7,251,7,12,6,15,16,22,17,0,101,28,0,27,170,140.65,218.35,34,563,
179,1400000US32003001716,"Census Tract 17.16, Clark County, Nevada",0,40,4,0,0,0,16,0,34,0,17,0,44,0,7,4,19,0,0,0,0,5,4,5,0,148,0,20,5,53,20,0,0,0,0,45,5,0,162,27.95,86.05,27,303,
